m1y1,m1y2,m1y3,m1y4,f1y1,f1y2,f1y3,f1y4
15,17,24,14,13,14,12,21
17,15,32,26,14,12,14,26
15,14,29,23,12,19,21,21
13,12,10,16,12,13,10,16
20,17,26,28,11,20,16,16
15,21,26,21,12,9,14,18
15,13,26,22,10,13,18,24
13,5,22,22,10,8,13,23
14,7,30,17,12,20,19,23
17,15,30,27,11,10,11,27
17,17,26,20,12,18,25,25
17,20,28,24,14,18,13,26
15,15,29,24,14,10,25,28
18,19,32,28,13,16,8,14
18,18,31,27,14,8,13,25
15,14,26,21,13,16,23,28
18,17,33,26,16,21,26,26
10,14,19,17,14,17,14,14
18,21,30,29,16,16,15,23
18,21,34,26,13,16,23,24
13,17,30,24,2,6,16,21
16,16,16,16,14,16,22,26
11,15,25,23,17,17,22,28
16,13,26,16,16,13,16,14
16,13,23,21,15,14,20,26
18,18,34,24,12,10,12,9
16,15,28,27,14,17,24,23
15,16,29,24,13,15,18,20
18,19,32,23,11,16,18,28
18,16,33,23,7,7,19,18
17,20,21,21,12,15,7,28
19,19,30,28,6,5,6,13
